Organization ID,Organization Name,Location ID,Location name
14089a31-0547-4414-9cd0-71c73ca49bdc,A2 Dental,d2337ffe-00c7-4d1f-9bc0-37b766bf2316,Stittsville
14089a31-0547-4414-9cd0-71c73ca49bdc,A2 Dental,4253a64b-d425-4fac-bfec-6b4b1e172a25,Brookfield
befae285-3c56-4243-8173-eba3440bf6bb,Adit 1,b9cc66b8-19cf-4cfe-bfee-cfa016425409,Memorial
999c1d85-5bfd-40d9-aee0-f56b183ca9c3,Auden Park Family Dentistry,3ed695e5-df0f-4d45-98e7-bf3bd5f7fce5,Auden Park Family Dentistry
208de87b-e9e2-43c1-926c-db100abf0960,Canon Family Dental,88d3f5cb-c142-4798-b398-889366708880,Cañon City
7c22a76a-5445-401f-84cf-318e52a02f51,Clean Dental,0d120678-8c79-47f1-a915-068a6416377a,Mesquite
228699f5-fac3-4bd3-ba77-551fde357caf,Elite Dental,d59b448d-6f8f-485e-baf2-19c6e40cd150,Fort Wayne
a7fb20cd-8b57-4050-b87b-796eab8a5121,Evergreen Dental & Orthodontics,320bd914-c93f-4464-b87e-8e630a199f3e,Los Angeles
7da23f27-5c3d-4abe-8cd4-d0ad49f68e67,Fielding Dental Healthcare,33e72828-19e6-4f85-b0b2-d1ed2da34c45,Burlington
7c31c8f0-b197-427d-943c-e52e8f5a3780,Gentle Touch Family Dental Care,c9d2e2db-1ab4-4e36-9f45-79bd539c0a56,Farmington Hills
1305fc08-53df-4935-88f2-154d1af1029e,InVision,bdbe132b-ca49-4a38-9b16-2d3681dd83fd,Albuquerque
a384ef2a-3e84-4085-8882-47aeba30c1e9,McNicholas Dental,f3b756e7-0ef9-43fd-8993-295b3b30ef70,Chicago
20c3e425-4b3c-4ab1-9aba-e1d6f2ef3fa9,Morrison Optometric Associates PA,8afd2f86-301c-434f-a962-d6ef71235138,Vision Source - Colby
39486ffc-d691-4050-b3ca-549187cd801c,North Hills Dental,1fac2811-7284-4492-8c29-16d0eee61715,Hillsboro
da264020-551d-49be-808a-7967691ecaa3,Prime Time Dental,4fb15e82-eda7-4d34-8263-e5905a6b3d04,Norristown
deee4120-89c7-4631-9ae8-efeab81a3c78,Quantum Dental,0c589607-ade4-4e17-8df4-5de8b38b6fe9,Boynton Beach
977093f9-e028-4edb-b6ba-8baa25de0fb3,Ranieu Family Dental,cd2cacaa-fe55-410f-a681-5c66287e5f3c,Vancouver
3d1c5c68-b1bf-4042-afb9-0d59e5b914f6,Sacksteder Orthodontics,8109dcc8-108e-49a3-bd35-41df49e25ae1,Charlotte
1d0521e7-af9f-4cbf-82c3-19636d80a517,Saidi Dental Group,eaad85e1-bf20-49d6-b589-01b28887461b,Langley
914d53ee-96b2-4451-b064-b6e3c3de4f0b,Seward Dental Clinic,b8f570ff-5cca-46ad-b927-36d19a0ceea1,Seward Dental
8a820c25-4bdb-4f33-9c39-6cc02a760dc8,Smooth Dentistry,7e7a4d3e-bc9a-4e60-a8e7-b3a01b503155,Las Vegas
2a9268e5-f040-4871-aeaf-d1837f2239ea,Stanford Family Dental,45be2536-4f7b-4c62-9562-695aef14bcdd,Menlo Park
e8d90634-474a-4678-bd68-0082a71a534d,Sweet Family Dentistry,9f46731a-f6c2-43a7-92fc-82866eb6e410,Rowlett
312841b0-9fe8-432b-8907-a32155ad628c,The Grand Family Dental,2d82ad08-5182-4b89-9b27-ffb9c4e8e2fa,Pflugerville
25eb24cf-567e-4a87-94c2-877b5652c830,Thibodaux Vision Center,ea3171fc-065f-417e-9f43-2c1915e2c3a9,Thibodaux
55ecee70-9b47-4d93-b3fd-0fd1de8041bf,Tyler Pediatric Dentistry,d442d6a0-40a6-470e-8797-91cdffd93ca9,Tyler
bd8b0fa9-41e5-4e60-832f-ff31baf2f6e6,Vision Source Aldine,def57a5e-00c7-4b9b-82b6-907e2dfd12fc,Houston
